bid	/bɪd/	предложение цены (обыкн. на аукционе); приказывать
clap	/klap/	хлопанье; хлопать, аплодировать; триппер; заразить триппером
compel	/kəm'pel/	заставлять, принуждать
consistency	/kən'sɪstənsɪ/	последовательность, логичность
consistent	/kən'sɪstənt/	последовательный, стойкий
consonant	/'kɒnsənənt/	согласный звук; созвучный
controversy	/'kɒntrəvə:sɪ/	спор, ссора
datum	/'deɪtəm/	данная величина, исходный факт
disruption	/dɪs'rʌpʃən/	разрушение
excessive	/ɪk'sesɪv/	чрезмерный
exhale	/eks'heɪl/	выдыхать
fasten	/'fa:sn/	навязывать
fierce	/fɪəs/	свирепый, лютый
flaw	/flɒ:/	трещина, щель, порок (в металле, фарфоре и т. п.); вызывать трещину; порыв ветра
gleam	/gli:m/	слабый свет, проблеск, луч; светиться
glimpse	/glɪmps/	мелькание, проблеск; (у)видеть мельком
glint	/glɪnt/	вспышка, сверкание; вспыхивать, сверкать
grain	/greɪn/	зерно; раздроблять
grind	/graɪnd/	размалывание; молоть(ся), перемалывать(ся)
hatred	/'heɪtrɪd/	ненависть
herd	/hə:d/	стадо; ходить стадом
humility	/hju(:)'mɪlɪtɪ/	покорность, смирение
hurl	/hə:l/	сильный бросок; метать
hyphen	/'haɪfən/	дефис, соединительная чёрточка; писать через дефис
immense	/ɪ'mens/	огромный, безмерный
immersion	/ɪ'mə:ʃən/	погружение
implication	/,ɪmplɪ'keɪʃən/	вовлечение
imply	/ɪm'plaɪ/	заключать в себе, значить
impose	/ɪm'pəuz/	навязать(ся)
intervene	/,ɪntə(:)'vi:n/	вмешиваться
irritable	/'ɪrɪtəbl/	раздражительный
lid	/lɪd/	крышка, колпак
likelihood	/'laɪklɪhud/	вероятность
mindful	/'maɪndful/	помнящий
mortgage	/'mɒ:gɪdʒ/	заклад; закладывать
oblige	/ə'blaɪdʒ/	обязывать
obliterate	/ə'blɪtəreɪt/	вычёркивать, стирать
obscure	/əb'skjuə/	мрачный, тёмный; затемнять
outlook	/'autluk/	вид, перспектива
persuade	/pə'sweɪd/	склонить, уговорить (into)
pitch	/pɪtʃ/	смола; смолить; высота (тона, звука и т. п.); разбивать (палатки, лагерь)
poke	/pəuk/	толчок, тычок; мешать (кочергой); мешок
premise	/'premɪs/	(пред) посылка
presumable	/prɪ'zju:məbl/	возможный, вероятный
purposeful	/'pə:pəsful/	целеустремлённый
reckless	/'reklɪs/	безрассудный, опрометчивый
reckon	/'rekən/	рассматривать, считать за
reluctant	/rɪ'lʌktənt/	делающий (что-л.) с неохотой
rend	/rend/	рвать, раздирать, разрывать
sack	/sak/	мешок, куль; класть или ссыпать в мешок; разграбление; грабить; белое сухое вино, импортировавшееся из Испании и с Канарских островов
severe	/sɪ'vɪə/	строгий, суровый
shallow	/'ʃaləu/	мелкий; мелкое место, мель; мелеть
shove	/ʃʌv/	толчок; пихать
sore	/sɒ:/	болячка, рана, язва; чувствительный, болезненный; жестоко, тяжко
spectacular	/spek'takjulə/	эффектный, импозантный; эффектное зрелище
spew	/spju:/	рвота, блевотина; блевать, изрыгать
spite	/spaɪt/	досаждать, делать назло
stab	/stab/	удар (острым оружием); нападать
suspense	/səs'pens/	неизвестность, неопределённость
sustain	/səs'teɪn/	поддерживать, подпирать
swirl	/swə:l/	водоворот; кружить(ся) в водовороте
tackle	/'takl/	принадлежности, инструмент; закреплять снастями
tangible	/'tandʒəbl/	осязаемый, материальный; нечто ощутимое, реальное, осязаемое
tangle	/'taŋgl/	спутанный клубок; запутывать(ся), усложнять(ся)
thrust	/θrʌst/	толчок; толкать
unveil	/ʌn'veɪl/	снимать покрывало (с чего-л.)
urge	/ə:dʒ/	толчок, побуждение; побуждать
withdraw	/wɪð'drɒ:/	отдёргивать
yank	/jaŋk/	дергать
yield	/ji:ld/	сбор плодов, урожай; производить, приносить, давать (плоды, урожай, доход)
